video_id,comment_text,likes,replies,comment_published_at,clean_comment
JFtlf8RoPZY,should the boys and I do more challenges again?,88805,1000,2026-03-21T15:57:20Z,should the boys and i do more challenges again
JFtlf8RoPZY,Sir ek baar bihar aayena,0,0,2026-03-22T14:13:13Z,sir ek baar bihar aayena
JFtlf8RoPZY,I know it's fake but I can't prove it,0,0,2026-03-22T14:13:07Z,i know it s fake but i can t prove it
JFtlf8RoPZY,Hello chandler long time no see,0,0,2026-03-22T14:13:06Z,hello chandler long time no see
JFtlf8RoPZY,"Nice Video, From Bangladesh",0,0,2026-03-22T14:13:04Z,nice video from bangladesh
JFtlf8RoPZY,D,0,0,2026-03-22T14:13:03Z,d
JFtlf8RoPZY,This look like movie ✋🙂🤚,0,0,2026-03-22T14:13:00Z,this look like movie
JFtlf8RoPZY,Loved that Cameraman joined the crew,0,0,2026-03-22T14:12:57Z,loved that cameraman joined the crew
JFtlf8RoPZY,Best video all world s❤,0,0,2026-03-22T14:12:55Z,best video all world s
JFtlf8RoPZY,"Hey Jimmy, I’m a dedicated subscriber from Bangladesh. I’ve watched your videos for a long time and seen how you've changed so many lives. Today, I’m writing this because I’m truly desperate.
​My mother is drowning in debt. She sacrificed everything and took loans just to raise us, but now we are in a position where we can't pay it back. My father left us years ago to move abroad and start another family; he no longer looks after us or provides any support. I am still too young to earn enough to help my mom, and it breaks my heart to see her struggle every day.
​I know you have a kind heart and help helpless people all over the world. I believe that with Allah's will, you could be the one to change our fate. Please, Jimmy, help us out of this misery. You are our last hope. I'll be waiting for your response. InshaAllah.""",0,0,2026-03-22T14:12:47Z,hey jimmy i m a dedicated subscriber from bangladesh i ve watched your videos for a long time and seen how you ve changed so many lives today i m writing this because i m truly desperate my mother is drowning in debt she sacrificed everything and took loans just to raise us but now we are in a position where we can t pay it back my father left us years ago to move abroad and start another family he no longer looks after us or provides any support i am still too young to earn enough to help my mom and it breaks my heart to see her struggle every day i know you have a kind heart and help helpless people all over the world i believe that with allah s will you could be the one to change our fate please jimmy help us out of this misery you are our last hope i ll be waiting for your response inshaallah
JFtlf8RoPZY,"aye mr beast pay for my youtube premium 
ads are annoying😭😭🙏🏾",0,0,2026-03-22T14:12:42Z,aye mr beast pay for my youtube premium ads are annoying
JFtlf8RoPZY,Darrius love,0,0,2026-03-22T14:12:35Z,darrius love
JFtlf8RoPZY,Chandler is back babyyyy🎉,0,0,2026-03-22T14:12:35Z,chandler is back babyyyy
JFtlf8RoPZY,Subscriber❤❤❤Vietnam,0,0,2026-03-22T14:12:34Z,subscriber vietnam
JFtlf8RoPZY,Jimmy is back with another one 🔥,1,0,2026-03-22T14:12:29Z,jimmy is back with another one
JFtlf8RoPZY,Jimmy give me some money 😂😂😂,0,0,2026-03-22T14:12:29Z,jimmy give me some money
JFtlf8RoPZY,Thank you for trying!,0,0,2026-03-22T14:12:27Z,thank you for trying
JFtlf8RoPZY,No mrbeast si era muy dificil es entendible que no lo lograras,0,0,2026-03-22T14:12:19Z,no mrbeast si era muy dificil es entendible que no lo lograras
JFtlf8RoPZY,"I am from an Islamic country, so minal aidzin wal Faidzin, I apologize for my physical and spiritual",0,0,2026-03-22T14:12:12Z,i am from an islamic country so minal aidzin wal faidzin i apologize for my physical and spiritual
JFtlf8RoPZY,Yes,0,0,2026-03-22T14:12:07Z,yes
JFtlf8RoPZY,Everone forget about camer man🔥,0,0,2026-03-22T14:11:57Z,everone forget about camer man
JFtlf8RoPZY,Shoutouts to quartering winds,0,0,2026-03-22T14:11:56Z,shoutouts to quartering winds
JFtlf8RoPZY,Darius should be in more videos,0,0,2026-03-22T14:11:52Z,darius should be in more videos
JFtlf8RoPZY,MR.BEAST pls pc  is in terrible  condition could  you  pls buy me a  new pc your to subscriber me turkiye and samsun and canik,0,0,2026-03-22T14:11:51Z,mr beast pls pc is in terrible condition could you pls buy me a new pc your to subscriber me turkiye and samsun and canik
JFtlf8RoPZY,DARIUS 💪🏻!!! The end of the video ⚡,0,0,2026-03-22T14:11:48Z,darius the end of the video
